galaxy_id,survey,coherence_score,coherence_quartile,btfr_offset_dex,f_gas,f_star,D_total
NGC5985,SPARC,0.6431194895203444,Q4_high,0.1476394716471765,0.1286544639551793,0.8713455360448207,0.9736900117743555
NGC6195,SPARC,0.649161651071282,Q4_high,0.0131129891502334,0.1244997466020065,0.8755002533979934,0.3790224919045619
NGC6503,SPARC,0.5792444447927553,Q3,0.0296502625733937,0.2653299809426197,0.7346700190573804,0.1655164897666459
NGC6674,SPARC,0.5833579884732003,Q3,0.0379309801713472,0.2849940825327626,0.7150059174672374,0.190863434237182
NGC6946,SPARC,0.5331464123586139,Q3,-0.0016078980002648,0.1856151975504337,0.8143848024495663,-0.007377297096534
NGC7331,SPARC,0.5716338115938016,Q3,0.0413125511741806,0.1051105151790689,0.894889484820931,0.2095535553135608
NGC7814,SPARC,0.7038538138089008,Q4_high,0.1428263111130577,0.0367843960338713,0.9632156039661288,0.930423617399014
UGC00128,SPARC,0.3109313491620393,Q1_low,0.0107689795687125,0.621851568246354,0.378148431753646,1.1828248262604946
UGC00731,SPARC,0.4377231383299047,Q2,-0.037686328154091,0.9370323727683532,0.0629676272316467,0.6803417746932027
UGC01230,SPARC,0.3875665451831021,Q1_low,-0.057769053357676,0.6917949506143878,0.3082050493856122,0.3166764068321024
UGC01281,SPARC,0.3832871560706821,Q1_low,0.0029172817256814,0.6889977445728784,0.3110022554271215,2.05212015058965
UGC02487,SPARC,0.6741310192298299,Q4_high,0.1132266842127192,0.0888568525503695,0.9111431474496304,0.6844315543107787
UGC02885,SPARC,0.6027688581933741,Q3,0.059460518231263,0.2089676147685516,0.7910323852314484,0.3149857194040985
UGC03205,SPARC,0.6330692506073525,Q4_high,0.0803110197375321,0.1846771359626674,0.8153228640373326,0.4475115557810623
UGC03546,SPARC,0.6818991508841219,Q4_high,0.0601678210455683,0.0656099731216258,0.9343900268783742,0.3192759397855558
UGC04278,SPARC,0.389210288267096,Q1_low,0.0779289400843308,0.6943090495747926,0.3056909504252074,2.0118871311409428
UGC04325,SPARC,0.4877863404942948,Q2,0.0875099274910114,0.4709464470371957,0.5290535529628043,1.799290292359988
UGC04499,SPARC,0.4106916501631317,Q1_low,-0.0259086473032709,0.6534167038856633,0.3465832961143367,0.4281433619847744
UGC05005,SPARC,0.5429012885118399,Q3,-0.0027904086121612,0.6674070240391713,0.3325929759608286,0.7710010187043093
UGC05721,SPARC,0.4029076763379768,Q1_low,0.0995337441302128,0.7378968567366925,0.2621031432633075,0.581493780296395
UGC06399,SPARC,0.4918435261771225,Q2,0.0512498922708035,0.4384715469424091,0.5615284530575909,1.5266124338292977
UGC06446,SPARC,0.2562108603234926,Q1_low,0.0225963057023995,0.7878070676569003,0.2121929323430996,0.5081721140564834
UGC06614,SPARC,0.5603125781231011,Q3,0.0099678887342346,0.3188991438340408,0.6811008561659592,0.0469737123877627
UGC06667,SPARC,0.4187827922199634,Q2,0.0604503500675063,0.6063613360609084,0.3936386639390917,6.107938186934769
UGC06786,SPARC,0.6397774214394124,Q4_high,0.1313542000903415,0.1541686062857485,0.8458313937142514,0.8310845582062228
UGC06917,SPARC,0.4998227695199109,Q2,0.0392533503170219,0.4406043307312265,0.5593956692687736,0.8624578184372445
UGC06930,SPARC,0.4744283055572127,Q2,-0.006096595113806,0.4908342178559173,0.5091657821440827,0.8002935311880265
UGC06983,SPARC,0.4293648530342865,Q2,0.0320944838313198,0.5983387691789827,0.4016612308210174,1.016754442016344
UGC07125,SPARC,0.3337744343827346,Q1_low,-0.2052260404052944,0.8195025137868931,0.1804974862131068,-0.3329776324924644
UGC07151,SPARC,0.5156586189282135,Q2,-0.0073740640553597,0.417727198564203,0.5822728014357971,0.2007763591538858
UGC07399,SPARC,0.4153174824664511,Q1_low,0.1634153659703244,0.6315772699748223,0.3684227300251776,2.8677100847118893
