galaxy_name,D_total,Vflat,v_newton_km_s,btfr_offset_dex,log10_M_bar,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,A_inferred,T,taxonomy_stage,organization_label_score,curve_shape
NGC5907,0.07696788125485225,215.0,207.17487439754785,0.0161013756964449,11.063242323990439,0.7582617791542307,0.2417382208457693,8.809979941575211,,5.34,0.0769678812548523,5.0,unknown,,unknown
NGC5985,0.9736900117743557,293.6,208.9857045175817,0.1476394716471765,11.078360305501223,0.8713455360448207,0.1286544639551793,8.58874440120979,5.634807417974322,7.01,0.973690011774355,3.0,mature_or_control,0.8040413217746091,unknown
NGC6195,0.37902249190456194,251.7,214.33719395775708,0.0131129891502334,11.348974892706314,0.8755002533979934,0.1244997466020065,8.262269476824219,2.9332855093256818,13.94,0.2919574832682947,3.0,mature_or_control,0.8031363424658143,unknown
NGC6503,0.16551648976664599,116.3,107.72599238978094,0.0296502625733937,9.941611795734016,0.7346700190573804,0.2653299809426197,8.474524425074039,6.50462962962963,2.16,0.1627883683424848,6.0,mature_or_control,0.7037388631066879,unknown
NGC6674,0.19086343423718208,241.3,221.11914261914083,0.0379309801713472,11.176399354063552,0.7150059174672374,0.2849940825327626,8.816145608463174,8.281456953642385,6.04,0.190863434237182,3.0,mature_or_control,0.5736237150700809,unknown
NGC6946,-0.007377297096534028,158.9,159.48938934178565,-0.0016078980002648,10.608821167944376,0.8143848024495663,0.1856151975504337,9.0358616469088,8.709016393442623,2.44,0.0,6.0,true_falsifier_candidate,0.4556508466350362,unknown
NGC7331,0.20955355531356085,239.0,217.31282111774829,0.0413125511741806,11.146235386209625,0.894889484820931,0.1051105151790689,8.946648083561472,5.380478087649403,5.02,0.2095535553135608,3.0,disturbed_or_measurement_contaminated,0.7090330170586335,unknown
NGC7814,0.9304236173990141,218.9,157.5503783519389,0.1428263111130577,10.587571788933293,0.9632156039661288,0.0367843960338713,8.979724487335302,4.783464566929134,2.54,0.930423617399014,2.0,mature_or_control,0.8005780980760613,unknown
UGC00128,1.1828248262604946,129.3,87.5163270533972,0.0107689795687125,10.201212168360524,0.378148431753646,0.621851568246354,7.85399836854531,5.25546218487395,5.95,0.5694289012602319,8.0,juvenile_forming,0.6096578993374148,steeply_falling
UGC00731,0.6803417746932027,73.3,56.54642622698138,-0.037686328154091,9.409055198294674,0.0629676272316467,0.9370323727683532,7.887419657901373,5.030434782608697,2.3,0.3403743757108149,10.0,juvenile_forming,0.5512021611211092,flat
UGC01230,0.3166764068321024,103.7,90.37311035539408,-0.057769053357676,10.092085226100666,0.3082050493856122,0.6917949506143878,8.01892589871753,6.057603686635945,4.34,0.1843310717632547,9.0,disturbed_or_measurement_contaminated,0.4457367642333315,slowly_falling
UGC01281,2.05212015058965,55.2,31.596448121243306,0.0029172817256814,8.753981171127867,0.3110022554271215,0.6889977445728784,7.531426093961837,3.226993865030675,1.63,0.6814527087560822,8.0,juvenile_forming,0.5932638156018216,slowly_rising
UGC02487,0.6844315543107787,332.0,255.8063962500976,0.1132266842127192,11.429539585079066,0.9111431474496304,0.0888568525503695,8.837205710302111,5.095057034220533,7.89,0.6844315543107787,0.0,mature_or_control,0.8222359483103044,unknown
