model,variable,n,pearson_r,spearman_rho,linear_slope,linear_intercept,abs_pearson_r,abs_spearman_rho
m4c_full_frozen,log10_SBeff,87,-0.008638590855187865,0.01637611293477406,-0.0006950891729631016,0.00798886238373613,0.008638590855187865,0.01637611293477406
m4c_full_frozen,SBdisk,87,0.04740356225478242,-0.005039482019105513,8.564228390122525e-07,0.004937359919146548,0.04740356225478242,0.005039482019105513
m4c_full_frozen,log10_SBdisk,87,-0.024689447230283258,-0.005039482019105513,-0.002180941310807762,0.012573003786711417,0.024689447230283258,0.005039482019105513
mond_simple_btfr,stellar_to_gas_ratio,87,-0.4180715175228737,-0.37706860100605083,-0.0027541815249506126,-0.023775304218301232,0.4180715175228737,0.37706860100605083
mond_simple_btfr,gas_frac,87,0.3865556337272846,0.37706860100605083,0.08725448013637124,-0.07297697512980214,0.3865556337272846,0.37706860100605083
mond_simple_btfr,star_frac,87,-0.38655563372728446,-0.37706860100605083,-0.08725448013637128,0.014277505006569121,0.38655563372728446,0.37706860100605083
mond_simple_btfr,v_flat_obs_km_s,87,-0.4210250832412153,-0.3769956987679521,-0.0003540725413950354,0.015534013299023278,0.4210250832412153,0.3769956987679521
mond_simple_btfr,S_star_gas,87,-0.39525604039264445,-0.3732981786635803,-0.3948736791254579,0.3677611420952301,0.39525604039264445,0.3732981786635803
mond_simple_btfr,T,87,0.3772698054537084,0.33669962711412366,0.009031106673940295,-0.08957885754017016,0.3772698054537084,0.33669962711412366
mond_simple_btfr,S_struct,87,-0.42233240583894893,-0.33313593572021355,-0.1538232412158606,0.13209676233928105,0.42233240583894893,0.33313593572021355
mond_simple_btfr,log10_SBeff,87,-0.3566680448450842,-0.33038374977033874,-0.030905365835904048,0.031279870968571176,0.3566680448450842,0.33038374977033874
mond_simple_btfr,SBeff,87,-0.3302222352458355,-0.33038374977033874,-3.0641570358215234e-05,-0.022147651273217318,0.3302222352458355,0.33038374977033874
mond_simple_btfr,S_internal,87,-0.3445173766494652,-0.3235504209887006,-0.1788073474832245,0.1541895838348598,0.3445173766494652,0.3235504209887006
mond_simple_btfr,Q_eff,87,-0.3951690895963393,-0.2780542038481034,-0.130372498861306,0.12389035065626701,0.3951690895963393,0.2780542038481034
mond_simple_btfr,log10_SBdisk,87,-0.2646629702422498,-0.25305854645305786,-0.02517664542402709,0.03368429821577075,0.2646629702422498,0.25305854645305786
