object_name,canonical_name,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,RHI_over_Rdisk,direct_hi_extent_overlap,m51_primary_score,m54_organization_score,organization_label_settled,organization_label_score,quality_quarantine_flag,quality_measurement_limited_flag,taxonomy_stage,branch_role
UGC06930,UGC06930,107.2,5.1,8.932,3.237,3.94,16.76,4.253807106598985,True,0.0932537587438715,0.2966268793719357,1,0.7021462232525187,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC06983,UGC06983,109.0,5.8,5.298,2.967,3.21,16.07,5.006230529595015,True,0.0,0.25,1,0.6439468270420454,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC07125,UGC07125,65.2,2.1,2.712,4.629,3.38,23.04,6.816568047337278,True,0.1286747142184619,0.314337357109231,0,0.3441077445145193,True,True,failed_stalled,quarantined_failed_stalled_measurement_limited_context
UGC07151,UGC07151,73.5,2.8,2.284,0.616,1.25,6.39,5.112,True,0.3346896757953144,0.4173448378976571,1,0.7403675728215676,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC07399,UGC07399,103.0,3.3,1.156,0.745,1.64,7.85,4.786585365853659,True,0.0,0.25,1,0.6108574491711659,False,False,juvenile_forming,physical_ordering_candidate_or_control
UGC07524,UGC07524,79.5,3.6,2.436,1.779,3.46,12.11,3.5,True,0.0,0.25,1,0.6272060763039489,False,False,juvenile_forming,physical_ordering_candidate_or_control
UGC07603,UGC07603,61.6,2.8,0.376,0.258,0.53,4.37,8.245283018867925,True,0.855329369600873,0.6776646848004365,0,0.4272260078380597,False,False,juvenile_forming,physical_ordering_candidate_or_control
UGC08286,UGC08286,82.4,2.3,1.255,0.642,1.05,8.07,7.685714285714286,True,0.8649381226476502,0.6824690613238251,0,0.4708234299793377,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC08490,UGC08490,78.6,3.8,1.017,0.72,0.67,7.8,11.641791044776118,True,0.9392507109710704,0.7196253554855352,0,0.4208126060935349,False,False,juvenile_forming,physical_ordering_candidate_or_control
UGC08550,UGC08550,56.9,1.9,0.289,0.288,0.45,5.59,12.42222222222222,True,0.7975786782299702,0.6487893391149852,0,0.3667982606803153,False,True,juvenile_forming,physical_ordering_candidate_or_control
UGC09133,UGC09133,226.8,4.2,282.926,33.428,6.97,60.35,8.658536585365853,True,1.0,0.75,0,0.5511509909019222,False,False,true_falsifier_candidate,physical_ordering_candidate_or_control
UGC10310,UGC10310,71.4,3.9,1.741,1.196,1.8,9.58,5.322222222222222,True,0.0,0.25,0,0.5109945667976671,False,True,disturbed_or_measurement_contaminated,physical_ordering_candidate_or_control
UGC11455,UGC11455,269.4,7.4,374.322,13.335,5.93,43.44,7.325463743676223,True,1.0,0.75,1,0.6143163123877886,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC11914,UGC11914,288.1,10.5,150.028,0.888,2.44,9.26,3.795081967213114,True,1.0,0.75,1,0.7889707092874967,False,False,mature_or_control,physical_ordering_candidate_or_control
UGC12632,UGC12632,71.7,2.8,1.301,1.744,2.42,12.6,5.206611570247934,True,0.0,0.25,0,0.5239243409528157,False,False,failed_stalled,physical_ordering_candidate_or_control
UGCA442,UGCA442,56.4,2.1,0.14,0.263,1.18,4.37,3.703389830508475,True,0.0,0.25,1,0.5838171694017319,False,False,juvenile_forming,physical_ordering_candidate_or_control
