object_name,source_type,m40_stratum,taxonomy_stage,phase_region_m42,f_star,f_gas,M_star_Msun,M_gas_Msun,M_baryon_Msun,R_d_star_kpc,R_HI_kpc,R_HI_over_Rd,log10_Sigma_b,Sigma_baryon_1Rd,Sigma_baryon_2p2Rd,baryonic_concentration_2p2Rd,composition_maturity,radial_distribution_maturity,dynamical_settling_maturity,star_formation_maturity,shape_symmetry_maturity,baryonic_maturity_score,quality_reliability_separate,maturity_inputs_baryon_only,quarantine_flag,testability_class,measurement_uncertainty_penalty_separate
NGC5907,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.7582617791542307,0.2417382208457693,87712500000.0,27963250000.0,115675750000.0,5.34,0.0,0.0,8.809979941575211,341201031.0471312,172192270.09305054,0.6454298932405316,0.9999282898281361,0.9860610180665108,0.84,0.5,0.9999995986455908,0.8651977813080476,True,True,False,testable_direct,0.2285714285714285
UGC03205,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8153228640373326,0.1846771359626674,56821000000.0,12870410000.0,69691410000.0,3.19,28.6,8.965517241379311,9.037418016803407,487742910.9596965,251030808.87763512,0.5573453404417942,0.9999843407823985,0.520907124184442,1.0,0.5,0.005513915803738345,0.6052810761541157,True,True,False,testable_direct,0.0
NGC6503,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.7346700190573804,0.2653299809426197,6422500000.0,2319520000.0000005,8742020000.0,2.16,14.05,6.50462962962963,8.474524425074039,128234250.5669326,67247952.806807,0.5457201738200564,0.9998654839672168,0.6545695977478375,1.0,0.5,0.567998096925073,0.7444866357280254,True,True,False,testable_direct,0.0
NGC5033,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.7859578061088343,0.2140421938911657,55254500000.0,15047620000.0,70302120000.0,5.16,29.53,5.722868217054264,8.62348914999931,192113347.34843773,99998586.62544507,0.5758641964659398,0.9999657355171101,0.8682998488385557,1.0,0.5,0.881940479122293,0.8500412126955916,True,True,False,testable_direct,0.0
NGC4183,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.5374936272438549,0.4625063727561451,5419000000.0,4662980000.0,10081980000.0,2.79,16.07,5.759856630824372,8.314157556671503,76972516.38235511,42067750.75764088,0.4938636950731553,0.9748065628223472,0.5616573053340995,1.0,0.5,0.8731098008460318,0.7819147338004957,True,True,False,testable_direct,0.0
UGC07151,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.5822728014357971,0.417727198564203,1142000000.0,819280000.0,1961280000.0,1.25,6.39,5.112,8.300539705297789,81101105.2761323,43783674.69073774,0.5303808916060568,0.9922306326571512,0.64327191451578,0.84,0.5,0.9667028897564747,0.7884410873858811,True,True,False,testable_direct,0.2285714285714285
UGC08286,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.4235972349732678,0.5764027650267323,627500000.0,853860000.0000001,1481360000.0,1.05,8.07,7.685714285714286,8.33010214706329,62412232.514037885,34981049.718528435,0.3958640437396582,0.6498587519951898,0.24809109960553746,0.84,0.5,0.08699072827529893,0.46498811597520523,True,True,False,testable_direct,0.2285714285714285
UGC11455,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.913441441546966,0.086558558453034,187161000000.0,17735550000.000004,204896550000.0,5.93,43.44,7.325463743676223,8.967245390827602,457963201.5350913,233481071.35887355,0.6092866361869593,0.9999988559451441,0.6708687440357629,0.84,0.5,0.17503027434582497,0.6371795748653464,True,True,False,testable_direct,0.2285714285714285
NGC3521,direct_sparc_m36_m41,mature_controls,mature_or_control,transition,0.8847623064308691,0.1152376935691309,42418000000.0,5524820000.0,47942820000.0,2.4,18.85,7.854166666666668,9.122121223899192,636746373.2147171,325574764.387496,0.5947642786138054,0.9999975419841358,0.6176493048283201,0.75,0.5,0.061497839228910445,0.5858289372082732,True,True,False,testable_direct,0.0285714285714285
NGC3992,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.8371238370913012,0.1628761629086988,113466000000.0,22076670000.0,135542670000.0,4.96,32.75,6.602822580645161,8.94293281504035,409835674.13263416,211359909.44170848,0.5833177139904178,0.9999912442786971,0.7561515192236645,1.0,0.5,0.5138668223426057,0.7540019171689935,True,True,False,testable_direct,0.0
NGC0891,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.9209839202625252,0.0790160797374749,69170000000.0,5934460000.0,75104460000.0,2.55,18.16,7.121568627450981,9.26440549866864,914284207.1466533,465779295.9804205,0.6131829174610386,0.9999990643873417,0.7009480023163888,0.84,0.5,0.25024848464100746,0.6582391102689475,True,True,False,testable_direct,0.2285714285714285
NGC4217,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.9260163936134734,0.0739836063865266,42649500000.0,3407460000.0,46056960000.0,2.94,16.7,5.680272108843537,8.928420739686862,427425506.20105714,217835398.5105276,0.6216172830630493,0.9999991818854262,0.947114499743496,0.84,0.5,0.8914456669270204,0.8357118697111886,True,True,False,testable_direct,0.2285714285714285
NGC7331,direct_sparc_m36_m41,measurement_contaminated_candidates,disturbed_or_measurement_contaminated,transition,0.894889484820931,0.1051105151790689,125315500000.0,14719110000.0,140034610000.0,5.02,27.01,5.380478087649403,8.946648083561472,438366367.9384143,224410762.81252125,0.6140602207675389,0.9999981237089988,0.9530670447998766,0.36,0.5,0.9411329338429261,0.7508396204703602,True,True,False,testable_direct,0.2571428571428571
F571-8,direct_sparc_m36_m41,mature_controls,mature_or_control,activated_mature,0.6819590824550527,0.3180409175449473,5082000000.0,2370060000.0,7452060000.0,3.56,24.55,6.896067415730337,7.971196478641222,37964894.863718934,20076805.52667622,0.5191746748360928,0.9994516606176259,0.20875766837637552,1.0,0.5,0.3552195843733518,0.6126857826734706,True,True,False,testable_direct,0.0
