galaxy_name,T,Vflat,e_Vflat,RHI,SBeff,SBdisk,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,A_gov_star_sigma_gas,v_newton_km_s,v_bdvr_full_km_s,A_implied,distance_to_half_activation,log10_velocity_error_full_bdvr,claim_boundary
NGC5055,4.0,179.0,4.9,35.06,1383.02,3348.34,92051260000.0,76461000000.0,15590260000.0,3.2,0.830635017923709,0.16936498207629097,1430704399.1052012,9.155549912516761,0.9800886568305115,0.9587758711914368,mature,0.9587758711914368,195.67436701535524,205.94381667369177,0.0,0.5,0.06089572610492724,diagnostic_governor_hypothesis_not_accepted_model
NGC5371,4.0,209.5,3.9,30.03,560.83,1395.82,185065900000.0,170196500000.0,14869400000.0,7.44,0.919653485596212,0.08034651440378805,532109072.99164623,8.726000664142939,0.9446736618594629,0.9361297477426864,mature,0.9361297477426864,233.00117123781155,238.9465476170606,0.0,0.5,0.057116732761899644,diagnostic_governor_hypothesis_not_accepted_model
NGC4088,4.0,171.7,6.9,22.25,457.96,3988.69,64583580000.0,53643000000.0,10940580000.000002,2.58,0.8305981179736397,0.16940188202636028,1544197464.030237,9.188702834895674,0.9812706422552967,0.9599244494019148,mature,0.9599244494019148,179.08410137546545,188.85707111522893,0.0,0.5,0.04136295499724478,diagnostic_governor_hypothesis_not_accepted_model
NGC3992,4.0,241.0,5.2,32.75,360.44,3257.09,135542670000.0,113466000000.0,22076670000.0,4.96,0.8371238370913012,0.1628761629086988,876865160.4112557,8.94293281504035,0.9682059769210579,0.9484473943989468,mature,0.9484473943989468,215.54875181595335,223.94803916797213,1.0,0.5,-0.03186977834945417,diagnostic_governor_hypothesis_not_accepted_model
NGC4217,3.0,181.3,7.2,16.7,483.98,4373.51,46056960000.0,42649500000.0,3407460000.0,2.94,0.9260163936134734,0.0739836063865266,848048596.3933663,8.928420739686862,0.9729769719820344,0.964714955051288,mature,0.964714955051288,164.56986786479803,170.83155295949967,1.0,0.5,-0.02582971519797885,diagnostic_governor_hypothesis_not_accepted_model
NGC4559,6.0,121.2,5.1,21.16,211.27,1602.62,17417130000.0,9688500000.0,7728630000.000001,2.1,0.5562627137766096,0.4437372862233905,628576492.9646583,8.798358135563797,0.7508168964461055,0.5580013170487282,transition,0.5580013170487282,129.0537568121273,132.9155269122843,0.0,0.5,0.040073097443875084,diagnostic_governor_hypothesis_not_accepted_model
NGC5005,4.0,262.2,20.7,10.41,1789.91,96.57,91062400000.0,89360000000.0,1702400000.0000002,9.45,0.9813051270337703,0.018694872966229754,162291437.41565368,8.210295606818034,0.6975266560201642,0.6941068812716185,mature,0.6941068812716185,166.22453362305092,197.46909394740845,1.0,0.5,-0.12313355386456369,diagnostic_governor_hypothesis_not_accepted_model
NGC6503,6.0,116.3,2.4,14.05,774.16,398.87,8742020000.0,6422500000.0,2319520000.0000005,2.16,0.7346700190573804,0.2653299809426197,298211525.9791261,8.474524425074039,0.842022188725818,0.795835470234244,mature,0.795835470234244,107.72599238978094,109.91761826701814,1.0,0.5,-0.024512405354111193,diagnostic_governor_hypothesis_not_accepted_model
NGC6195,3.0,251.7,9.3,40.89,686.8,174.11,223344310000.0,195538000000.0,27806310000.0,13.94,0.8755002533979934,0.12449974660200656,182923489.210516,8.262269476824219,0.7361366155553327,0.7258348024425874,mature,0.7258348024425874,214.33719395775708,247.1201071591818,1.0,0.5,-0.00797513193095076,diagnostic_governor_hypothesis_not_accepted_model
NGC5985,3.0,293.6,8.6,39.5,288.95,1461.61,119773380000.0,104364000000.0,15409380000.0,7.01,0.8713455360448207,0.12865446395517935,387921991.97445583,8.58874440120979,0.9075479272200359,0.8943163757546183,mature,0.8943163757546183,208.9857045175817,212.63467073065394,1.0,0.5,-0.14012197224504308,diagnostic_governor_hypothesis_not_accepted_model
NGC5907,5.0,215.0,2.9,0.0,449.6,8646.29,115675750000.0,87712500000.0,27963250000.0,5.34,0.7582617791542307,0.24173822084576932,645624409.3886263,8.809979941575211,0.9390720820381661,0.8979125756842532,mature,0.8979125756842532,207.17487439754782,213.52275840974346,1.0,0.5,-0.0029942886341289966,diagnostic_governor_hypothesis_not_accepted_model
