gate_name,xcol,placement,xcrit,k,median_abs_log10_error,mean_abs_log10_error,max_abs_log10_error,frac_within_010_dex,frac_within_015_dex,n_above_020_dex,delta_median_abs_vs_base,delta_frac010_vs_base,target_A,target_new_log10_error,target_new_abs_log10_error
sigma_star_source_gate,log10_Sigma_star,source,7.656247984899391,2.0,0.054840813536057506,0.06910577935211648,0.2926854873284641,0.7931034482758621,0.8850574712643678,4,0.013226914066702608,-0.16091954022988497,0.3186455869663538,0.10796710683853805,0.10796710683853805
stellar_fraction_source_gate,star_frac,source,0.3679365007459096,20.0,0.05533020315406578,0.1114546055637821,0.686629100473132,0.7126436781609196,0.8045977011494253,15,0.013716303684710884,-0.2413793103448275,0.0230047676030092,-0.1774054076203034,0.1774054076203034
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.0936282777575,8.0,0.05676307681955558,0.09716110289623624,0.9814969852507601,0.7471264367816092,0.8275862068965517,13,0.01514917735020068,-0.2068965517241379,0.3564457852436375,0.12013850075030007,0.12013850075030007
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.0936282777575,1.0,0.05687879553903788,0.06679811639232518,0.22688602938910196,0.7701149425287356,0.9195402298850575,2,0.015264896069682982,-0.1839080459770115,0.4815451336341659,0.1527993793867557,0.1527993793867557
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.0936282777575,2.0,0.0575317119988578,0.06738443041403461,0.29896866065490435,0.8045977011494253,0.9080459770114943,2,0.015917812529502903,-0.14942528735632177,0.46314048203537145,0.14856831562962108,0.14856831562962108
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.320535392828218,8.0,0.06026827913627806,0.1565407511287395,1.1785680698723238,0.5977011494252874,0.6666666666666666,22,0.01865437966692316,-0.35632183908045967,0.08271016058166916,-0.03847015419987729,0.03847015419987729
sigma_star_source_gate,log10_Sigma_star,source,8.011089018546985,1.0,0.06385062886188925,0.07766810119657055,0.2487913590648589,0.6896551724137931,0.8850574712643678,2,0.02223672939253435,-0.2643678160919539,0.3241329535141804,0.10982092643437824,0.10982092643437824
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.320535392828218,1.0,0.06436317150257814,0.07467367892938157,0.2406698190840888,0.7011494252873564,0.9080459770114943,2,0.022749272033223245,-0.2528735632183907,0.4253716735957343,0.13933227128215742,0.13933227128215742
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.320535392828218,2.0,0.06461099209921078,0.08144750343392358,0.3439609050007118,0.7126436781609196,0.8505747126436781,4,0.022997092629855886,-0.2413793103448275,0.3539959592763948,0.11938970598668056,0.11938970598668056
sigma_star_source_gate,log10_Sigma_star,source,8.011089018546985,8.0,0.06566823703440504,0.22282140600538683,1.2614781286070675,0.5977011494252874,0.6436781609195402,30,0.02405433756505014,-0.35632183908045967,0.002790498062112161,-0.40643943888876805,0.40643943888876805
stellar_fraction_source_gate,star_frac,source,0.5171208904715713,4.0,0.0670524957561901,0.08316315003334776,0.2568571261313315,0.6896551724137931,0.8390804597701149,7,0.025438596286835202,-0.2643678160919539,0.20644421373726024,0.060840808518600215,0.060840808518600215
sigma_star_source_gate,log10_Sigma_star,source,8.011089018546985,2.0,0.06907855868342784,0.0917728947486699,0.36335971203919326,0.6436781609195402,0.8275862068965517,10,0.027464659214072942,-0.31034482758620685,0.18699046736213673,0.0500949965691107,0.0500949965691107
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.320535392828218,4.0,0.0699783214223191,0.1032551806267286,0.6175220227925098,0.6551724137931034,0.8045977011494253,14,0.02836442195296421,-0.29885057471264365,0.23093476650959302,0.07301245967809834,0.07301245967809834
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.47847740168307,2.0,0.07160198783907029,0.09358827391557935,0.37617893786119555,0.6091954022988506,0.8160919540229885,10,0.029988088369715393,-0.34482758620689646,0.2854870856671636,0.09603674660342809,0.09603674660342809
