quantum_family,template_name,bias,drive_scale,eq_scale,eq_reservoir,k_on,k_off,k_coherent,A0,Omega0,Delta0,gamma_phi,gamma_relax,w0,gas_c,gas_k,RHI_Rd_c,RHI_k,n_steps,tau_final,mse,rmse,spearman_A_pred_A_inferred,pearson_A_pred_A_inferred,prediction_min,prediction_max,prediction_std,rank_score
two_channel_master,gas_hi,0.4,2.5,0.8,0.8,1.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.13724654725122185,0.3704680111038224,0.33565933493637584,0.33423249391954657,0.0008712404322215176,0.9640684820615709,0.2678879576302984,-0.04736608696378489
two_channel_master,gas_hi,0.4,2.5,0.8,0.8,1.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.13802495479910765,0.37151709893234747,0.33669058846676764,0.3347810235494063,0.006966107593867182,0.9699506229085617,0.266549992757327,-0.04715486885761458
two_channel_master,gas_hi,0.4,1.2,0.8,0.8,4.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.13699078189667663,0.37012265790772203,0.3347010905054808,0.32583752239188024,0.007316188165665331,0.9787030055879108,0.25011142131027514,-0.04709481788133782
two_channel_master,gas_hi,0.8,1.2,0.8,0.8,1.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1408443214433024,0.37529231466058877,0.3409068639627058,0.335516761470889,0.012217670853916267,0.9707251485182715,0.24412814773264668,-0.04665445373618582
two_channel_master,gas_hi,0.4,1.2,0.8,0.8,4.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1379224244057676,0.3713790845023015,0.3351391451024614,0.3262074437139431,0.01017569234992647,0.9822043447342736,0.2511586311349369,-0.046404105400586176
two_channel_master,dyn_early_hi,0.4,1.2,0.8,0.8,1.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.13222238166019082,0.36362395638927697,0.3223260481407792,0.30186008625116667,0.043582109406949614,0.9451181327584997,0.22761519373490913,-0.045056944817237765
bloch_lindblad,gas_hi,0.8,1.2,0.8,0.8,1.0,1.0,0.0,0.2,1.0,1.0,0.6,4.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.12325864597213887,0.3510821071660287,0.3055613336688346,0.3056606117343313,0.024372297473202853,0.8780329005832006,0.1984968367797088,-0.04480008754572018
two_channel_master,dyn_early_hi,0.4,1.2,0.8,0.8,1.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1336537218770512,0.3655868185220184,0.3238044824055887,0.3053204427114452,0.051691282363442836,0.9553933227714997,0.22881304689862061,-0.04443874344602258
two_channel_master,gas_hi,0.8,2.5,0.8,0.8,1.0,4.0,8.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.14313983162847746,0.37833825028468565,0.340450557090851,0.33728615369607007,0.008844309900775274,0.9712117315030605,0.24794142023842575,-0.04410797477149059
two_channel_master,gas_hi,0.8,2.5,0.8,0.8,1.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.14239044524739408,0.3773465850480087,0.33629816455697253,0.3368135188382727,0.0016546022234995678,0.9656820444546812,0.24873265307320241,-0.04257354525894083
two_channel_master,gas_hi,0.8,1.2,0.8,0.8,4.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.14382673849209887,0.37924495842673883,0.3380138783951465,0.32852256153102344,0.011719760690305649,0.9799235303045244,0.23655839436423745,-0.042080894625231735
two_channel_master,dyn_early_hi,0.8,2.5,0.8,0.8,1.0,1.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11005381712085624,0.3317436014768879,0.2760291529223933,0.24655517138430988,0.07947724151840796,0.703304654984165,0.13554290375535663,-0.04176221698646007
two_channel_master,dyn_early_hi,0.8,1.2,0.8,0.8,1.0,4.0,8.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.13912278071949144,0.37299166306968773,0.3286322091098122,0.3106229940000737,0.06900910240730979,0.9531666899343232,0.21347323923039904,-0.0416249342909053
two_channel_master,gas_hi,0.8,1.2,0.8,0.8,4.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.1446014631342335,0.38026499067654584,0.33693699417756917,0.3287628131118395,0.014521940289931586,0.9831919346890583,0.23736414755230556,-0.04071388366342957
