r_kpc,a_b_m_s2,a_qv_m_s2,a_total_m_s2,v_newton_km_s,v_cghstc34_km_s
25.623115577889447,1.179932522267508e-11,3.762869950876604e-11,4.942802473144112e-11,96.58725557597066,197.6868894890273
25.871859296482413,1.1581891526562552e-11,3.7280383356230476e-11,4.8862274882793026e-11,96.1565426071401,197.5040175179717
26.120603015075375,1.1370413102136987e-11,3.693845654946127e-11,4.830886965159826e-11,95.7315286276802,197.32418144209916
26.36934673366834,1.1164674440540962e-11,3.660274488156476e-11,4.7767419322105723e-11,95.31208934575722,197.14730625481658
26.618090452261306,1.0964469693968354e-11,3.627308042165984e-11,4.7237550115628196e-11,94.89810422234494,196.97331939987538
26.866834170854272,1.0769602160571381e-11,3.594930123477459e-11,4.671890339534597e-11,94.48945632718,196.80215067219052
27.115577889447234,1.0579883801125355e-11,3.56312511166117e-11,4.6211134917737053e-11,94.08603220139744,196.6337321234329
27.3643216080402,1.0395134785232926e-11,3.53187793422699e-11,4.571391412750283e-11,93.68772172648472,196.46799797212822
27.613065326633166,1.0215183065022477e-11,3.501174042807208e-11,4.522692349309456e-11,93.29441799921474,196.30488451801446
27.86180904522613,1.0039863974453248e-11,3.470999390570949e-11,4.4749857880162735e-11,92.90601721223895,196.14433006042543
28.110552763819094,9.869019852484306e-12,3.441340410796521e-11,4.4282423960449514e-11,92.52241854004141,195.98627482048036
28.35929648241206,9.702499688496785e-12,3.412183996533033e-11,4.382433965382712e-11,92.14352402997234,195.83066086687572
28.608040201005025,9.540158788480127e-12,3.383517481287211e-11,4.337533360135224e-11,91.76923849809674,195.67743204508568
28.85678391959799,9.381858460604178e-12,3.355328620675628e-11,4.293514466736046e-11,91.39946942960952,195.52653390979032
29.105527638190953,9.227465718901146e-12,3.327605574986521e-11,4.2503521468766354e-11,91.03412688358277,195.37791366036197
29.35427135678392,9.076853003875009e-12,3.300336892598998e-11,4.208022192986499e-11,90.67312340182488,195.2315200792489
29.603015075376884,8.929897918942279e-12,3.2735114942108775e-11,4.1665012861051054e-11,90.31637392164419,195.08730347310643
29.85175879396985,8.786482981687071e-12,3.247118657829505e-11,4.125766955998212e-11,89.96379569232109,194.9452156165336
30.100502512562812,8.646495388986442e-12,3.221148004482832e-11,4.0857975433814765e-11,89.61530819510453,194.8052096982817
30.349246231155778,8.509826795129071e-12,3.1955894846107636e-11,4.046572164123671e-11,89.27083306655867,194.66724026980978
30.597989949748744,8.376373102112267e-12,3.170433365099276e-11,4.008070675310503e-11,88.93029402509582,194.53126319606795
30.84673366834171,8.246034261359305e-12,3.145670216922169e-11,3.9702736430580995e-11,88.59361680054049,194.39723560839693
31.09547738693467,8.118714086151815e-12,3.121290903357484e-11,3.933162311972666e-11,88.26072906657824,194.26511585943933
31.344221105527637,7.994320074120492e-12,3.09728656874765e-11,3.896718576159699e-11,87.93156037595097,194.13486347996175
31.592964824120603,7.872763239182474e-12,3.073648627774321e-11,3.8609249516925685e-11,87.60604209826829,194.0064391374957
31.84170854271357,7.753957952355073e-12,3.050368755220602e-11,3.8257645504561093e-11,87.2841073603108,193.87980459670737
32.09045226130653,7.637821790914169e-12,3.0274388761950263e-11,3.7912210552864436e-11,86.96569098870884,193.75492268141298
32.3391959798995,7.524275395401013e-12,3.004851156793164e-11,3.757278696333265e-11,86.65072945488586,193.63175723816093
32.58793969849246,7.413242334014219e-12,2.9825979951741845e-11,3.7239222285756065e-11,86.33916082216162,193.51027310130553
32.836683417085425,7.3046489739542e-12,2.960672013031001e-11,3.691136910426421e-11,86.0309246949159,193.3904360595016
33.085427135678394,7.198424359315679e-12,2.939066047433915e-11,3.658908483365483e-11,85.72596216971915,193.27221282355347
33.334170854271356,7.094500095150115e-12,2.917773143028796e-11,3.627223152543807e-11,85.42421578834033,193.15557099555411
33.58291457286432,6.9928102373443104e-12,2.896786544571963e-11,3.596067568306394e-11,85.12562949254793,193.04047903925527
33.83165829145729,6.893291187984144e-12,2.8760996897849304e-11,3.565428808583345e-11,84.83014858062393,192.92690625161163
34.08040201005025,6.79588159589336e-12,2.855706202513142e-11,3.535294362102478e-11,84.53771966551435,192.81482273544424
34.32914572864321,6.700522262056951e-12,2.835599886173707e-11,3.505652112379402e-11,84.24829063454469,192.7041993731738
34.57788944723618,6.60715604965693e-12,2.815774717478001e-11,3.476490322443694e-11,83.96181061063136,192.5950078015733
34.82663316582914,6.515727798465176e-12,2.7962248404157722e-11,3.4477976202622894e-11,83.67822991492407,192.48722038749645
35.07537688442211,6.426184243353819e-12,2.7769445604881243e-11,3.419562984823506e-11,83.39750003081737,192.38081020453595
35.324120603015075,6.338473936698438e-12,2.7579283391774568e-11,3.3917757328473e-11,83.11957356927252,192.27575101057207
35.57286432160804,6.252547174462906e-12,2.739170788643068e-11,3.3644255060893586e-11,82.84440423539375,192.17201722617133
35.821608040201006,6.168355925767659e-12,2.7206666666317633e-11,3.337502259208529e-11,82.57194679620564,192.06958391379808
