galaxy_name,v_flat_obs_km_s,v_m5_bdvr_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,M_baryon_Msun,M_star_Msun,M_gas_Msun,star_frac,gas_frac,stellar_to_gas_ratio,T,Rdisk,r_over_Rdisk_eval,H_halo,S_star_gas,S_internal,S_struct,Q_eff,RHI,Reff,SBeff,SBdisk,log10_SBeff,log10_SBdisk,log10_M_baryon_Msun
UGC01230,103.7,125.67903163159885,1.211948231741551,0.0834840693771751,0.0834840693771751,12361900000.0,3810000000.0,8551900000.0,0.3082050493856122,0.6917949506143878,0.445515031747331,9.0,4.34,3.7718894009216593,1.250452323768591,1.0,1.0,1.0,1.125719092851827,26.29,6.45,28.63,69.32,1.4568213480215986,1.8408585540418796,10.092085226100666
F563-V2,116.6,96.2360587736013,0.8253521335643337,-0.08336072170972,0.08336072170972,4377770000.0,1493000000.0,2884770000.0,0.341041215047844,0.658958784952156,0.5175455928895545,10.0,2.43,3.2633744855967075,1.2320640525006583,1.0,1.0,1.0,1.109165060636936,11.37,4.49,23.6,146.16,1.3729120029701067,2.164828534344481,9.641252940796383
NGC5985,293.6,247.0050176965448,0.8412977441980407,-0.0750502755722731,0.0750502755722731,119773380000.0,104364000000.0,15409380000.0,0.8713455360448207,0.1286544639551793,6.772757891621857,3.0,7.01,3.5813124108416545,1.2439233070527012,1.0395386639968425,1.2,1.2474463967962108,1.396942055477627,39.5,10.71,288.95,1461.61,2.460822698802402,3.164831505697767,11.078360305501223
ESO563-G021,314.6,265.774933672242,0.8448027135163444,-0.0732446998489913,0.0732446998489913,187904840000.0,155588500000.0,32316340000.0,0.8280175220606345,0.1719824779393654,4.814545830375594,4.0,5.45,6.08256880733945,1.3039185621748468,1.0,1.1,1.1,1.291237252608236,55.71,10.59,429.37,6558.89,2.6328316970876364,3.816830347353688,11.273937966679668
NGC4088,171.7,202.7172968761069,1.1806482054519911,0.0721205113385047,0.0721205113385047,64583580000.0,53643000000.0,10940580000.000002,0.8305981179736397,0.1694018820263602,4.9031221379488095,4.0,2.58,5.494186046511628,1.293933538157079,1.0,1.1,1.1,1.2813493383213002,22.25,6.1,457.96,3988.69,2.660827546698381,3.60083028436173,10.81012211518025
ESO116-G012,109.1,92.59787549913533,0.8487431301478947,-0.0712237279408208,0.0712237279408208,3586390000.0,2146000000.0,1440390000.0,0.5983732945942856,0.4016267054057144,1.489874270162942,7.0,1.51,4.082781456953643,1.260251976740183,1.0,1.0,1.0,1.1345412256462997,9.58,2.75,90.54,1320.78,1.9568404901592336,3.1208304839711203,9.554657514907793
UGC04325,90.9,77.21289184749469,0.8494267529977413,-0.0708740648707405,0.0708740648707405,1914740000.0,1013000000.0,901740000.0,0.5290535529628043,0.4709464470371957,1.123383680440038,9.0,1.86,2.5268817204301075,1.1992475258607282,1.0,1.0,1.0,1.0796219985805482,6.61,2.79,41.0,213.22,1.6127838567197357,2.3288279390142805,9.282109810037621
UGC10310,71.4,83.66752723115584,1.1718141068789334,0.0688587219551644,0.0688587219551644,2461180000.0,870500000.0,1590680000.0,0.3536921314166375,0.6463078685833624,0.5472502326049237,9.0,1.8,3.5277777777777777,1.2420133910149516,1.0,1.0,1.0,1.118121947768011,9.58,3.12,28.37,158.79,1.4528593357958524,2.2008231487109304,9.391143377273732
NGC1003,109.8,127.09452762483886,1.1575093590604633,0.0635245111991767,0.0635245111991767,11230400000.0,3410000000.0,7820400000.0,0.3036401196751674,0.6963598803248326,0.4360390772850493,6.0,1.61,11.20807453416149,1.3416529489421265,1.0,1.0,1.0,1.2078224110562814,33.33,2.76,140.87,1345.33,2.1488185146020182,3.1288288267921383,10.050395225068138
NGC4559,121.2,139.70886203436353,1.1527133831218113,0.0617213353931001,0.0617213353931001,17417130000.0,9688500000.0,7728630000.000001,0.5562627137766096,0.4437372862233905,1.253585693712857,6.0,2.1,5.947619047619048,1.301798339438632,1.0,1.0,1.0,1.1719433183444343,21.16,3.82,211.27,1602.62,2.324837832312843,3.2048305582449266,10.240976593389751
UGC04278,91.4,79.44078140808993,0.8691551576377454,-0.0609026883488162,0.0609026883488162,2137780000.0,653500000.0,1484280000.0000002,0.3056909504252074,0.6943090495747926,0.4402808095507585,7.0,2.21,2.5701357466063346,1.201405482248547,1.0,1.0,1.0,1.0815646977631832,8.9,2.46,34.11,377.42,1.5328817194073971,2.576824910294984,9.3299630097118
