f_star_c,k_star,log10_sigma_c,k_sigma,f_gas_c,k_gas,RHI_Rd_c,k_HI,drive_power,A0,lambda_seed,lambda_feedback,lambda_reservoir,disturbance_weight,failed_weight,n_steps,tau_final,n_primary_fit,n_mature_control,primary_fit_rmse,primary_fit_spearman,primary_cv_rmse,primary_cv_spearman,train_fit_rmse,train_fit_spearman,m37_static_primary_rmse,m37_static_primary_spearman,mature_control_median_A_pred,mature_control_fraction_A_pred_gt_0p5,ugc07125_A_pred,rank_score
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,2.0,10.0,1.75,0.4,0.4,80,1.0,41,46,0.3796607890255125,-0.4337613650286122,,,0.3796607890255125,-0.4337613650286122,0.5117710280218454,-0.3627661375280108,0.9949635916150605,1.0,0.7231508834000613,0.39267362997637084
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,4.0,4.0,1.75,0.4,0.4,80,1.0,41,46,0.3815511467170077,-0.4337613650286122,,,0.3815511467170077,-0.4337613650286122,0.5117710280218454,-0.3627661375280108,0.9917200735595647,1.0,0.6551034055703171,0.39456398766786605
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.1,4.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.3828556935641794,-0.40915204676780526,,,0.3828556935641794,-0.40915204676780526,0.5117710280218454,-0.3627661375280108,0.9968485493480146,1.0,0.7176511206518519,0.3951302549672136
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,4.0,10.0,1.75,0.4,0.4,80,1.0,41,46,0.38690737875740505,-0.3048722737058246,,,0.38690737875740505,-0.3048722737058246,0.5117710280218454,-0.3627661375280108,0.9798740567966564,0.9782608695652174,0.6920980124149868,0.3960535469685798
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,4.0,0.0,1.25,0.4,0.4,80,1.0,41,46,0.3841205874595851,-0.42508613772804,,,0.3841205874595851,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9702609648564295,1.0,0.5972229698268079,0.3968731715914263
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,2.0,10.0,1.75,0.4,0.4,80,1.0,41,46,0.3847570786162236,-0.4337613650286122,,,0.3847570786162236,-0.4337613650286122,0.5117710280218454,-0.3627661375280108,0.9949548575489624,1.0,0.7154962245074038,0.39776991956708196
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.5,0.05,4.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.3851745296306761,-0.42508613772804,,,0.3851745296306761,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9987277465593792,1.0,0.8445352578430529,0.3979271137625173
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,4.0,4.0,1.25,0.4,0.4,80,1.0,41,46,0.38920918750269756,-0.29159386457229564,,,0.38920918750269756,-0.29159386457229564,0.5117710280218454,-0.3627661375280108,0.9726021970499961,0.9782608695652174,0.6300140277269949,0.39795700343986645
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,0.75,10.0,0.5,0.4,0.4,80,1.0,41,46,0.38622031850892513,-0.4236697740871302,,,0.38622031850892513,-0.4236697740871302,0.5117710280218454,-0.3627661375280108,0.9981370418316313,1.0,0.8019773185804386,0.39893041173153904
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,0.75,10.0,0.5,0.4,0.4,80,1.0,41,46,0.3914184985969597,-0.2772531827080844,,,0.3914184985969597,-0.2772531827080844,0.5117710280218454,-0.3627661375280108,0.9914789747758587,0.9347826086956522,0.7243192901163161,0.39973609407820226
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,4.0,0.0,1.25,0.4,0.4,80,1.0,41,46,0.38755386682480075,-0.42508613772804,,,0.38755386682480075,-0.42508613772804,0.5117710280218454,-0.3627661375280108,0.9691862178715718,1.0,0.5930110514517395,0.40030645095664197
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,2.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.39264019471639966,-0.2772531827080844,,,0.39264019471639966,-0.2772531827080844,0.5117710280218454,-0.3627661375280108,0.9676176733934481,0.9347826086956522,0.6091512235626124,0.4009577901976422
