object_name,O_comp,O_radial,O_rot,O_shape,O_SF,O_disorder,m47_primary_score,quality_quarantine_flag,quality_measurement_limited_flag
xGASS_xCOLD:GASS108119,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS122004,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS113134,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS123001,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS101001,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS109127,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS124028,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS110082,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS113114,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS113137,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS108148,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS114117,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS111071,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS122005,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS108140,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS109082,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS111075,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS101033,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS110036,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
xGASS_xCOLD:GASS113091,0.0177957222509151,0.6046410375745178,0.5,0.9738474883252576,0.5,0.2107557370501123,0.5192568496301381,False,False
