object_name,phase_fraction_descriptor,texture_descriptor,defect_inverse_descriptor,porosity_inverse_descriptor,concentration_descriptor,m52_primary_score,quality_quarantine_flag
M17_analog_synthesis:8655-12703,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:8977-12704,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:11824-12702,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:10498-12701,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:GASS110082,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:GASS122005,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:11751-12702,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:9001-12704,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:11941-9101,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:8553-12703,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:10838-6103,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:8598-12704,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:11022-12702,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:GASS112113,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:GASS109080,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
THINGS:NGC5055,0.9343691332794054,0.7369237441626288,0.6237132959646653,0.5,0.3403192084103328,0.6270650763634065,False
M17_analog_synthesis:GASS101026,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
M17_analog_synthesis:GASS111054,0.9343691332794054,0.7369237441626288,0.6046410375745178,0.5,0.3403192084103328,0.6232506246853771,False
THINGS:NGC6946,0.9343691332794054,0.7369237441626288,0.6276110843233902,0.5,0.3403192084103328,0.6278446340351514,False
THINGS:NGC3521,0.9343691332794054,0.7369237441626288,0.7101075877113513,0.5,0.3403192084103328,0.6443439347127438,False
THINGS:NGC7331,0.9343691332794054,0.7369237441626288,0.7360713552333693,0.5,0.3403192084103328,0.6495366882171473,False
THINGS:NGC2403,0.9343691332794054,0.7369237441626288,0.4407279049878443,0.5,0.3403192084103328,0.5904679981680422,False
THINGS:NGC2903,0.9343691332794054,0.7369237441626288,0.7414323043392996,0.5,0.3403192084103328,0.6506088780383333,False
THINGS:NGC3198,0.9343691332794054,0.7369237441626288,0.4419520633170377,0.5,0.3403192084103328,0.590712829833881,False
