bootstrap_id,coef_f_star,coef_rhi_extent_organization_score,coef_fstar_x_rhi_extent_organization,organization_auc_like,spearman_vs_organization_score,organization_score_rmse,clean_spearman_vs_A_inferred,clean_spearman_vs_signed_residual,clean_spearman_vs_abs_residual
61,-0.07252415828127468,0.025609803175004796,0.15399486092266454,0.9002463054187192,0.8990341375669653,0.053041589813510426,0.1490930592424763,-0.1841247342310418,-0.1677634909385441
62,-0.09171103967041536,0.026137576142970655,0.19120204924242767,0.9446366782006921,0.9262489001857465,0.05075360762516996,0.15654237601779833,-0.19107016300496102,-0.1709425939050319
63,-0.05732006498555771,0.02383978360970485,0.1559535313099238,0.9234285714285714,0.8772118486655587,0.06489511381150731,0.1288795836372329,-0.16061557152981676,-0.17244102460261213
64,-0.07682944518194254,0.02750610103555205,0.1770665930001175,0.9712837837837838,0.9033305301859854,0.06514903691391749,0.13722537979525845,-0.16711552090715806,-0.17873848334514528
65,-0.06700688337781523,0.0075792353499744575,0.16914898510918738,0.9900932400932401,0.9425045712777087,0.05520009410554542,0.12192119604767712,-0.15202996861395163,-0.17545813506125343
66,-0.07649379620005006,0.012518107779069969,0.17297439817518004,0.9158305462653289,0.8847618908862211,0.0741765031072785,0.12049109798479293,-0.1505517869798522,-0.17549863318821507
67,-0.1495855476368824,0.006398015107538437,0.26382899877605187,0.9594594594594594,0.9522547456748591,0.05258657716314544,0.15974408809888227,-0.1914548952110965,-0.17418244406196215
68,-0.09166251284088071,0.016696343952769224,0.18520493828873447,0.9258028792912514,0.8984436101986548,0.056306845004761234,0.13430114942786842,-0.16407816138503595,-0.1778475245519895
69,-0.05567201725715062,0.03226219559217607,0.15169104996135085,0.9734669811320755,0.9304613098148112,0.06348570704839554,0.13280701712336254,-0.1629644628935912,-0.17975093651918597
70,-0.06786285398835014,0.028767706491771575,0.1657345609602723,0.9451219512195121,0.9156028230142129,0.0607681609629629,0.1340450124613817,-0.16450339171813305,-0.17815126050420166
71,-0.0685934124886381,0.019172487539348027,0.18713299741232683,0.9769144144144144,0.9315075194182864,0.058770363009293475,0.1234366730993902,-0.15581654348486385,-0.17027437481016502
72,-0.07737534909023305,0.017671149567549786,0.16736374196625642,0.9174057649667405,0.8769868423625095,0.06362465533969844,0.13579528173237423,-0.16511086362255747,-0.17952819682089705
73,-0.12189290642479787,0.009944265217637702,0.2318144299150464,0.955,0.8992411796917781,0.06370663876001717,0.12710796961903312,-0.15478384124734232,-0.1806418953123418
74,-0.05780105486481371,0.026796000614233484,0.1534961297353928,0.9521337946943483,0.9322325522284461,0.06548698174772627,0.13353273852840827,-0.1641389085754784,-0.1790219702338767
