model_family,feature_template,uses_angular_momentum,uses_m59_backbone,endpoint_delta,endpoint_stretch,ridge_alpha,mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,pairwise_rank_loss,objective,n_features
rank_weighted_corrected,full_corrected_state,True,False,0.6,0.5,0.01,0.0089044784318411,0.09436354397669208,0.9813791892980744,0.9497384357721615,0.975939389925388,0.971047892075359,-1.16410053817408,1.7626438952074923,0.5402584716151198,0.3647493725623632,0.4663786759767687,-0.6998174066473681,13
censored_latent_corrected,full_corrected_state,True,False,0.85,0.0,0.1,0.011456847514619626,0.10703666434740773,0.979818619796331,0.9484815563854124,0.9697501270674223,0.9658910806282115,-1.3501368968673402,1.8890606996799801,0.5940223464046676,0.37541200491278326,0.4494978832463368,-0.6998091624794736,13
censored_latent_corrected,full_corrected_state,True,False,0.85,0.0,0.01,0.01168121743908636,0.1080796809723565,0.9804391971420535,0.9480118965741587,0.970563156527155,0.9654137329263538,-1.3541171999880668,1.9148649489119955,0.6003479023666751,0.3754341580335678,0.44882005101429523,-0.699293636598389,13
rank_weighted_corrected,full_corrected_state,True,False,0.6,0.5,0.1,0.008743704224808736,0.09350777627988346,0.979608718635278,0.949877410122834,0.974820224895852,0.9713227841100598,-1.1605149166390047,1.7403298450942357,0.5349154186058857,0.3645442405483352,0.4670921704372512,-0.6991468694469852,13
censored_latent_corrected,physical_state,True,False,0.6,1.0,0.01,0.011105148237086667,0.10538096714818415,0.9737771168129739,0.9438284304669542,0.962452580373991,0.9640862912084617,-1.2726925272157368,1.8573163804798263,0.5658787940851965,0.3689677369162981,0.46058319523944047,-0.6983295821428436,12
rank_weighted_corrected,physical_state,True,False,0.6,0.0,0.1,0.008396417665595944,0.09163196857863495,0.9742334236848286,0.9440699244428407,0.9724479571021644,0.9691387925694928,-1.1057478919927468,1.7117727020322346,0.5068144279890011,0.3550600771594759,0.4781060897438082,-0.698123258861155,12
censored_latent_corrected,physical_state,True,False,0.6,1.0,0.1,0.01111469618861951,0.10542625948320233,0.9733390622159931,0.9431712342962852,0.9616049941524263,0.963551336332222,-1.2735095546140562,1.8372960832965628,0.5597799577069394,0.36876599913966307,0.46166815157808416,-0.6979119434003918,12
censored_latent_corrected,full_corrected_state,True,False,0.6,0.5,1.0,0.00997040268505248,0.09985190376278501,0.9683288127630276,0.9399202641682177,0.9655692252676272,0.9641064062473366,-1.1209689206007956,1.6272701254133155,0.5090159812695703,0.3618657536955928,0.4739724512837282,-0.6972275870857885,13
rank_weighted_corrected,physical_state,True,False,0.6,0.0,0.01,0.008533391598198554,0.09237635843763574,0.9738775043247818,0.9443492415571495,0.9693715143414129,0.9692032003217932,-1.104614570211108,1.7307592102269016,0.512745080987385,0.35595042684427175,0.4770817122368372,-0.6971070688713237,12
censored_latent_corrected,physical_state,True,False,0.35,1.0,1.0,0.00891610342329336,0.0944251207216245,0.9574504569380096,0.9295969321919261,0.9577210819325637,0.9612325194033484,-0.9808261573478252,1.531107649689909,0.4494219650413915,0.34180267054528274,0.49655614556737326,-0.6954077676756837,12
rank_weighted_corrected,full_corrected_state,True,False,0.35,1.0,1.0,0.007634977493657624,0.087378358268267,0.9677629922419276,0.9401910071406024,0.9672981035767813,0.9686078539111468,-0.9368732846010751,1.4958207721264238,0.4542111666282052,0.3471940097923305,0.492340350847379,-0.69444997461195,13
