object_name,taxonomy_stage,radial_footprint_score,HI_extent_footprint_score,surface_density_footprint_score,concentration_footprint_score,composition_footprint_score,F_occ,F_crit,A_footprint_candidate,m56_hi_structural_score,gas_fraction_only_score,stellar_fraction_only_score,rhi_over_rd_only_score,quality_only_score,underfilled_stellar_footprint,overextended_HI_footprint,low_surface_density_footprint,low_concentration_footprint,radial_scale_outside_footprint,measurement_limited,quality_quarantined,quality_used_as_footprint_component,dominant_failure_mode,claim_boundary,abs_log10_error_no_governor,A_inferred,organization_label_settled,organization_label_score
NGC7814,mature_or_control,1.0,1.0,1.0,1.0,0.9192821293730622,0.9838564258746125,0.9882550689333227,0.4890051650355197,0.8321787371608569,0.9632156039661288,0.9632156039661288,0.8149662829319277,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0244286313153802,1.0,1,0.8005780980760613
UGC00128,juvenile_forming,1.0,1.0,0.882833773221091,1.0,0.6129530935052138,0.8991573733452609,0.9882550689333227,0.2909082591867409,0.2603026030133196,0.378148431753646,0.378148431753646,0.7912459176395511,1.0,True,False,True,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0128946458972553,0.9289624089297926,1,0.6096578993374148
UGC00731,juvenile_forming,1.0,1.0,0.9125144844965293,1.0,0.0,0.7825028968993059,0.9882550689333227,0.11329455682301043,0.1995592871178231,0.0629676272316468,0.0629676272316467,0.8025547293360339,1.0,True,False,True,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0568447940412088,0.695472852986707,0,0.5512021611211092
UGC01230,disturbed_or_measurement_contaminated,1.0,1.0,1.0,1.0,0.43748532175460064,0.8874970643509201,0.9882550689333227,0.2674537066648118,0.2384502377283434,0.3082050493856123,0.3082050493856122,0.7509340840315375,0.7,True,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0834840693771751,0.5981967627928872,0,0.4457367642333315
UGC01281,juvenile_forming,0.9960285941223193,0.9417202716737555,0.5963644379009536,0.8519624383689163,0.444502704880975,0.7661156893893839,0.9882550689333227,0.09784570231554592,0.2698359952263877,0.3110022554271215,0.3110022554271214,0.8931871302672842,0.7,True,False,True,False,True,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0108610000266834,0.9382739299718946,1,0.5932638156018216
UGC02487,mature_or_control,0.7609213661636222,1.0,1.0,1.0,1.0,0.9521842732327244,0.9882550689333227,0.4107882003232907,0.8185314350023972,0.9111431474496304,0.9111431474496304,0.7993071209669005,1.0,False,False,False,False,True,False,False,False,radial_scale_mismatch,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0159960343010751,0.8833522354207538,1,0.8222359483103044
UGC02885,mature_or_control,0.06393963463065944,1.0,1.0,1.0,1.0,0.8127879269261319,0.9882550689333227,0.14745896363478425,0.7807306392446006,0.7910323852314484,0.7910323852314484,0.7280841702213415,1.0,False,False,False,False,True,False,False,False,radial_scale_mismatch,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0336344534924578,1.0,1,0.7132214526470548
UGC03205,mature_or_control,1.0,1.0,1.0,1.0,1.0,1.0,0.9882550689333227,0.5293286213325998,0.7638185926156951,0.8153228640373326,0.8153228640373327,0.6047961182140262,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0092392657479627,0.9358237580388178,1,0.5877342301284297
UGC03546,mature_or_control,1.0,1.0,1.0,1.0,0.991597187778437,0.9983194375556874,0.9882550689333227,0.525139704814058,0.8257471459690822,0.9343900268783742,0.9343900268783742,0.8117750167117646,1.0,False,False,False,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0593565573555587,0.5752299067797505,1,0.8258526755547789
UGC04278,juvenile_forming,1.0,1.0,0.8730651156032836,1.0,0.4311781726347379,0.8608486576476043,0.9882550689333227,0.21856233682010962,0.2589764451694329,0.3056909504252074,0.3056909504252074,0.8529751059031437,0.7,True,False,True,False,False,False,False,False,composition_underfilled,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0609026883488162,1.0,0,0.5624436356871746
UGC04325,mature_or_control,1.0,0.994984447853032,0.9635651104260295,0.9882796364582107,0.9915305152403814,0.9876719419955308,0.9882550689333227,0.49854218678643836,0.3623102320107212,0.5290535529628043,0.5290535529628043,0.8767652386932088,1.0,True,False,True,False,False,False,False,False,low_surface_density,baryon_visible_conformal_footprint_occupancy_diagnostic_not_resolved_orbital_fit,0.0708740648707405,1.0,1,0.7655216810842725
