galaxy_name,ra_deg,dec_deg,distance_mpc,stellar_mass_msun,effective_radius_kpc,lambda_R,V_over_sigma,ellipticity,fast_rotator_flag,fast_slow_class,T_type,KMAG_abs,source_reference
NGC0516,21.033607,9.551668,34.7,12562902434.668465,2.431666062826155,0.655,0.786,0.699,1,F,-1.5,-22.21,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0524,21.198778,9.538793,23.3,125629024346.68465,4.930947514699956,0.325,0.344,0.034,1,F,-1.2,-24.71,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0525,21.220442,9.70324,30.7,9101018286.587467,1.708884986786624,0.418,0.404,0.28,1,F,-2.0,-21.86,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0661,26.060976,28.705988,30.6,30980611593.729446,1.9556714032834492,0.139,0.134,0.306,0,S,-4.4,-23.19,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0680,27.447035,21.970827,37.5,76399406881.71526,2.6278811918150082,0.406,0.413,0.189,1,F,-4.0,-24.17,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0770,29.80685,18.954695,36.7,17502092991.59649,1.5496746297911985,0.195,0.184,0.276,1,F,-4.2,-22.57,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0821,32.088123,10.99487,23.4,64727671934.27077,4.516378343854671,0.273,0.288,0.392,1,F,-4.8,-23.99,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC0936,36.90609,-1.15628,22.4,142919005988.1649,5.69931258797901,0.657,0.677,0.223,1,F,-1.2,-24.85,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC1023,40.100052,39.063251,11.1,65931049201.040504,2.575712808659387,0.391,0.372,0.363,1,F,-2.7,-24.01,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC1121,42.663387,-1.73404,35.3,19728314697.87477,1.2686714429458408,0.711,0.828,0.559,1,F,-1.8,-22.7,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC1222,47.236446,-2.955212,33.3,19910858546.259167,2.0324444870795224,0.147,0.153,0.28,0,S,-3.0,-22.71,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC1248,48.202328,-5.224674,30.4,23718651116.194813,2.335866630345325,0.535,0.521,0.227,1,F,-2.0,-22.9,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC1266,49.00312,-2.42737,29.9,24383159917.023968,2.9596860614073615,0.638,0.775,0.193,1,F,-2.1,-22.93,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
