galaxy_name,v_flat_obs_km_s,model,v_pred_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,Vflat_km_s,e_Vflat,sigma_logv_obs_dex,sigma_total_dex,loglike_i
NGC3521,213.7,m4a_halo_only,177.76048299332606,0.8318225689907631,-0.0799693005433608,0.0799693005433608,213.7,15.9,0.0323129726825536,0.04409226920428858,0.5578133214200449
NGC3741,50.1,m4a_halo_only,49.39173079144892,0.9858628900488806,-0.006183480835373,0.006183480835373,50.1,2.1,0.01820396031929798,0.03509108392892097,2.415344278218666
NGC3893,174.0,m4a_halo_only,167.31189672729678,0.9615626248695216,-0.0170224256745111,0.0170224256745111,174.0,8.9,0.0222139131548215,0.03732904951441909,2.2650722839146784
NGC3917,135.9,m4a_halo_only,128.3974084712592,0.944793292650914,-0.0246631985603293,0.0246631985603293,135.9,4.1,0.013102335362791259,0.0327363894154357,2.216532822172147
NGC3953,220.8,m4a_halo_only,192.2976761335032,0.8709133882857931,-0.0600250331207847,0.0600250331207847,220.8,6.1,0.011998171827943096,0.03231030992133699,0.7877809393612718
NGC3972,132.7,m4a_halo_only,114.36935087221732,0.861863985472625,-0.0645612666805405,0.0645612666805405,132.7,2.9,0.00949098717045539,0.03146551822979798,0.43496220859129764
NGC3992,241.0,m4a_halo_only,230.18309617788424,0.955116581650972,-0.019943615141297,0.019943615141297,241.0,5.2,0.009370669319074312,0.03142943593969578,2.339743646493434
NGC4088,171.7,m4a_halo_only,193.28335876436032,1.1257038949584175,0.0514241687593921,0.0514241687593921,171.7,6.9,0.017452719424184263,0.034707310689526184,1.3442195417817344
NGC4100,158.2,m4a_halo_only,164.24441407622098,1.038207421467895,0.0162841290419967,0.0162841290419967,158.2,5.0,0.013726121425513648,0.032991004976931894,2.370764774259547
NGC4157,184.7,m4a_halo_only,193.4734998457021,1.047501352710894,0.0201545924731754,0.0201545924731754,184.7,7.2,0.016929725336780797,0.03444728726589131,2.2782242430683612
NGC4183,110.6,m4a_halo_only,119.28768175360766,1.0785504679349698,0.032840471583085,0.032840471583085,110.6,5.4,0.021204251376831462,0.0367371783953512,1.9854719070433444
NGC4217,181.3,m4a_halo_only,174.52972907687754,0.96265708260826,-0.0165283895662435,0.0165283895662435,181.3,7.2,0.01724721604910873,0.03460442835020734,2.330766060655162
NGC4559,121.2,m4a_halo_only,139.70886203436353,1.1527133831218113,0.0617213353931001,0.0617213353931001,121.2,5.1,0.018274767802859603,0.035127868398871484,0.8862138980635832
NGC5005,262.2,m4a_halo_only,197.4964646546628,0.7532283167607278,-0.1230733615420358,0.1230733615420358,262.2,20.7,0.03428640646604619,0.04555828868992924,-1.4790872897802396
NGC5033,194.2,m4a_halo_only,192.28174262335853,0.9901222586166766,-0.0043111761455451,0.0043111761455451,194.2,3.6,0.008050773093984071,0.03106147046440039,2.5432165633541595
NGC5055,179.0,m4a_halo_only,212.062612472915,1.1847073322509218,0.0736110763487204,0.0736110763487204,179.0,4.9,0.011888508163832032,0.032269747850912946,-0.08706125028304168
NGC5371,209.5,m4a_halo_only,242.8398865650641,1.1591402700003062,0.0641359940317787,0.0641359940317787,209.5,3.9,0.008084718278867217,0.03107028596020078,0.4220568449506459
NGC5585,90.3,m4a_halo_only,93.62765316919872,1.0368510871450578,0.0157163873677569,0.0157163873677569,90.3,2.4,0.011542710482478452,0.03214396001245518,2.3990622434947912
NGC5907,215.0,m4a_halo_only,209.66943928085624,0.975206694329564,-0.0109033261546345,0.0109033261546345,215.0,2.9,0.0058579255698578145,0.030566571479019266,2.5052896389877097
NGC5985,293.6,m4a_halo_only,221.1540154698416,0.7532493714912858,-0.1230612220282929,0.1230612220282929,293.6,8.6,0.01272115989226146,0.03258570098992013,-4.626186192439924
NGC6195,251.7,m4a_halo_only,249.39478499434463,0.9908414183327162,-0.0039958476883519,0.0039958476883519,251.7,9.3,0.016046637591180937,0.03402197198844742,2.4549130573280222
NGC6503,116.3,m4a_halo_only,115.02422131435556,0.9890302778534444,-0.0047904128483258,0.0047904128483258,116.3,2.4,0.008962224906000037,0.031310085839322245,2.533172116839243
NGC6674,241.3,m4a_halo_only,237.26249297066624,0.9832676874043356,-0.0073282325886835,0.0073282325886835,241.3,4.9,0.008819075678930519,0.031269411504387216,2.5187145893410987
NGC6946,158.9,m4a_halo_only,171.77113572436693,1.081001483476192,0.0338262899432106,0.0338262899432106,158.9,10.9,0.029791125567938604,0.042278968324743746,1.924468036183197
NGC7331,239.0,m4a_halo_only,228.2053967441158,0.9548342960004844,-0.0200719902766518,0.0200719902766518,239.0,5.4,0.009812511306600668,0.03156398862853309,2.334606406272839
