galaxy_id,gass_id,sdss_id,stellar_mass_msun,hi_mass_msun,h2_mass_msun,sfr_msun_yr,radius_kpc,velocity_proxy_km_s,inclination_deg,source_xgass,source_xcold,hi_flag,co_flag,molecular_measurement_note
GASS9619,9619,J142833.30+031543.1,116239597992.79677,5223966845.630953,615681680.8708124,0.6228131055831909,6.987838145075293,272.5,90.0,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS114144,114144,J142835.76+254231.9,14544232085.85574,434509758.5475637,2123247483.281016,0.1161735504865646,3.081718165975143,129.6428167946573,79.56827971512386,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS114010,114010,J142846.66+271502.4,4871188512.17576,264240833.9541377,559596788.747373,2.069653272628784,1.3799600349962455,131.25920879293818,70.85569854836935,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS114000,114000,J142852.82+275003.8,617787663.0937668,2041739917.404129,211273609.6676431,0.1842569261789322,1.020361472931684,88.60982493769568,44.85696949695266,True,False,0,,xGASS_angular_momentum_linear_mass
GASS114024,114024,J142857.00+253312.3,5118100561.579111,2511884225.153631,453772476.53242624,0.3748567700386047,3.577255461795048,119.43517968244772,56.4172564725328,True,False,0,,xGASS_angular_momentum_linear_mass
GASS9615,9615,J143001.87+032352.1,16574961564.957386,2460366437.1514764,42751508.58241565,0.0359396860003471,0.3345851156816783,195.74083158866156,41.421179248989255,True,False,1,,xGASS_angular_momentum_linear_mass
GASS7509,7509,J143019.95+030529.0,29172708636.147984,1174896729.3472965,680559476.618885,0.6148027181625366,2.283315586036964,191.1832187696657,51.92488875796836,True,False,1,,xGASS_angular_momentum_linear_mass
GASS7520,7520,J143314.34+023909.6,54671097540.41335,2301444283.651307,58079691.72887044,0.0418678559362888,3.745763998860323,228.7166926342269,73.23909056897094,True,False,1,,xGASS_angular_momentum_linear_mass
GASS7561,7561,J143335.68+023819.3,38187458727.72487,6397344758.528945,890227564.9009956,0.2899265587329864,3.250457924209617,190.46276387072828,81.76733805860104,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS9814,9814,J143348.34+035724.7,59066607690.390366,1862089099.377868,2048818138.436607,0.5347815752029419,3.2365143031623407,251.0454661909453,31.4542670091206,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS28810,28810,J143410.96+101243.7,139228741825.4997,7943275370.132687,807658465.9086498,0.6728233695030212,2.119936500584456,269.0805972145178,59.56396085478001,True,False,0,,xGASS_angular_momentum_linear_mass
GASS9776,9776,J143446.68+032029.7,58768491574.41763,2157742589.674633,196778221.6949385,0.1479362994432449,4.121824837434577,163.0,90.0,True,False,1,,xGASS_angular_momentum_linear_mass
GASS9572,9572,J143535.74+034121.2,42323536174.47965,2594176718.8974466,1435849648.136445,1.2533421516418457,3.369648648124495,162.5946741069607,77.11424719922181,True,False,1,,xGASS_angular_momentum_linear_mass
GASS46068,46068,J143709.53+251503.0,197800528857.88193,4591976982.285344,197423247.4212889,0.1485150307416916,3.543847077735565,363.03465195828215,67.74863509133272,True,False,1,,xGASS_angular_momentum_linear_mass
GASS31095,31095,J143749.60+064454.3,10011043581.000984,3917422487.283386,1019043423.7815876,0.88020920753479,3.6093478935777,147.40427806277512,56.20652262052849,True,False,1,,xGASS_angular_momentum_linear_mass
GASS41699,41699,J144213.77+084036.0,66223360352.25645,402716609.8458977,5302258600.214607,5.0080437660217285,2.981490057646034,50.92092956601011,33.3582409932005,True,False,2,,xGASS_angular_momentum_linear_mass
GASS41718,41718,J144338.96+083350.7,32262888817.56972,623734945.0559865,35765846.41618871,0.0279410071671009,2.0095270705812345,70.74182823825376,45.55012559960653,True,False,1,,xGASS_angular_momentum_linear_mass
GASS9948,9948,J144414.74+041306.7,65774552073.10901,10000000000.0,515609864.34850526,0.3978855907917022,4.970216888219525,248.60541050371572,40.969523314704624,True,True,0,2.0,xGASS_angular_momentum_linear_mass
GASS29205,29205,J144551.55+100910.4,8901426710.781586,2685343832.3922677,1937315866.4062092,1.7173714637756348,3.422196107969061,154.36379066063,83.93582267588975,True,False,1,,xGASS_angular_momentum_linear_mass
GASS9863,9863,J144725.16+032627.9,33365549199.52338,8729713377.165632,174921522.34903717,0.1511636525392532,1.5830707371622283,219.12946880678552,47.28402301275353,True,False,1,,xGASS_angular_momentum_linear_mass
GASS38751,38751,J144734.58+091351.7,13305220667.503128,3404078667.7774973,1233254093.3450568,1.0195010900497437,5.615649695860216,158.5,90.0,True,False,1,,xGASS_angular_momentum_linear_mass
GASS38758,38758,J144743.50+093217.4,69446265014.74881,2032355190.079633,450137410.27696,0.1726633310317993,1.7841701963155476,190.75933335279856,70.66473466255779,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS38752,38752,J144759.39+092534.4,18678098662.16388,3531834427.894172,1002818569.4920768,0.8287150859832764,5.932262277616727,172.37237838316298,37.1098378780577,True,False,1,,xGASS_angular_momentum_linear_mass
GASS38748,38748,J144859.36+093017.1,93338569174.9649,1559551927.4864194,56533890.34887108,0.0427847430109977,2.958427625096637,259.0127739524449,67.04390665470787,True,True,2,2.0,xGASS_angular_momentum_linear_mass
GASS29377,29377,J144911.09+110654.8,89866751765.32227,23442281975.923817,4077138767.8687806,3.4311089515686035,7.727277814144097,262.57510857399296,52.031197214484216,True,False,0,,xGASS_angular_momentum_linear_mass
GASS38717,38717,J144929.32+090445.1,27382312761.114483,5345639743.71499,1762828642.2557092,4.6088738441467285,3.4337087405636604,200.09324449943037,48.344244712986935,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS38716,38716,J145008.03+090445.8,11549197696.004063,12274385195.852179,1049095957.9524194,0.8798848986625671,3.015278231668978,149.77234610277205,81.1768170273926,True,False,1,,xGASS_angular_momentum_linear_mass
