object_name,source_family,vrot_km_s,sigma_km_s,vrot_over_sigma,endpoint_overlap,proxy_only,crossmatch_role
GASS20448,xGASS_angular_momentum,156.46449459499178,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109034,xGASS_angular_momentum,155.66564739810784,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109135,xGASS_angular_momentum,43.94135751789945,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109050,xGASS_angular_momentum,104.50699636803408,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS109088,xGASS_angular_momentum,120.402951344836,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS5035,xGASS_angular_momentum,233.821141597652,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110038,xGASS_angular_momentum,147.0682131183205,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110082,xGASS_angular_momentum,107.33552638855195,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS14831,xGASS_angular_momentum,240.0401300570754,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110036,xGASS_angular_momentum,71.24937795762322,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26221,xGASS_angular_momentum,249.6670530227707,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110013,xGASS_angular_momentum,123.30492836948258,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110080,xGASS_angular_momentum,98.57685401919817,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110068,xGASS_angular_momentum,90.60790408286896,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26368,xGASS_angular_momentum,203.0,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS18877,xGASS_angular_momentum,248.87077508451907,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS18887,xGASS_angular_momentum,249.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26407,xGASS_angular_momentum,241.044453020782,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26406,xGASS_angular_momentum,213.3439525255038,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110056,xGASS_angular_momentum,57.302842237389626,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS8724,xGASS_angular_momentum,220.5465864215345,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26320,xGASS_angular_momentum,289.0032515838818,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS18862,xGASS_angular_momentum,198.5801871727672,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS22999,xGASS_angular_momentum,219.89840904590275,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS23026,xGASS_angular_momentum,303.6689172817876,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26535,xGASS_angular_momentum,110.57338988475962,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS23070,xGASS_angular_momentum,137.0,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS23114,xGASS_angular_momentum,169.02836843127682,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS55541,xGASS_angular_momentum,197.2397905026874,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26598,xGASS_angular_momentum,217.43081434137423,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110043,xGASS_angular_momentum,152.06591934040884,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110001,xGASS_angular_momentum,98.23153339541577,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110055,xGASS_angular_momentum,90.97454067665204,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26586,xGASS_angular_momentum,140.03485356729274,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS23213,xGASS_angular_momentum,162.64856176843827,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26569,xGASS_angular_momentum,192.76440970017995,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS26570,xGASS_angular_momentum,155.28626179547635,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110059,xGASS_angular_momentum,136.54511797438647,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS23227,xGASS_angular_momentum,281.15212293263943,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS15181,xGASS_angular_momentum,266.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS15155,xGASS_angular_momentum,222.4459634299987,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS15166,xGASS_angular_momentum,97.01405821781134,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS29555,xGASS_angular_momentum,201.06103093526332,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS23315,xGASS_angular_momentum,193.3612418248883,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS15151,xGASS_angular_momentum,220.1961310322894,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110049,xGASS_angular_momentum,136.92772485543566,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS8914,xGASS_angular_momentum,205.57126735461583,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110054,xGASS_angular_momentum,92.112089804924,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS38255,xGASS_angular_momentum,186.949627259028,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS29596,xGASS_angular_momentum,171.53984447370178,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110022,xGASS_angular_momentum,170.5737382452647,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS29505,xGASS_angular_momentum,191.14488431649428,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS8945,xGASS_angular_momentum,259.42806723578144,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS23441,xGASS_angular_momentum,187.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110063,xGASS_angular_momentum,109.4811108394708,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS23445,xGASS_angular_momentum,126.3452586874758,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS9085,xGASS_angular_momentum,150.8500588655512,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS23496,xGASS_angular_momentum,171.07814873105946,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS110081,xGASS_angular_momentum,129.0,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS9114,xGASS_angular_momentum,223.9559620948364,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS17640,xGASS_angular_momentum,224.78600395775487,,,False,True,Vrot_available_sigma_missing_proxy_only
