object_name,source_family,sfr_msun_yr,sfe_per_yr,depletion_time_yr,endpoint_overlap,proxy_only,crossmatch_role
GASS57017,xGASS,0.3355879485607147,5.161864867569992e-11,19372843452.03639,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109020,xGASS,0.1151430904865264,2.852580672339421e-10,3505597614.4572735,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109045,xGASS,0.1147002726793289,7.439859344861755e-10,1344111432.2821672,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109031,xGASS,0.0036885254085063,3.025884432077125e-11,33048188800.573185,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109090,xGASS,0.0352072454988956,6.708598203756548e-11,14906243743.142042,False,True,SFR_SFE_HI_depletion_proxy_only
GASS33019,xGASS,0.2005171030759811,9.228933750408947e-11,10835487901.900787,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109089,xGASS,0.1689347177743911,5.994032609753086e-11,16683259253.092272,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109064,xGASS,0.0031201553065329,3.185488460647087e-11,31392359832.842216,False,True,SFR_SFE_HI_depletion_proxy_only
GASS32937,xGASS,1.2039254903793335,5.15940451316039e-10,1938208173.926356,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109028,xGASS,1.5579266548156738,2.770428892609529e-10,3609549419.1084533,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109059,xGASS,0.1529904454946518,1.0584356563565621e-10,9447905444.174904,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109082,xGASS,0.1548579186201095,2.629862001319686e-11,38024808887.241684,False,True,SFR_SFE_HI_depletion_proxy_only
GASS32907,xGASS,0.8594670295715332,3.955754474255905e-10,2527962760.348276,False,True,SFR_SFE_HI_depletion_proxy_only
GASS109118,xGASS,0.355459988117218,9.349551933908783e-11,10695699719.825272,False,True,SFR_SFE_HI_depletion_proxy_only
GASS53269,xGASS,0.0581047125160694,4.113502241021379e-11,24310184884.005337,False,True,SFR_SFE_HI_depletion_proxy_only
GASS16841,xGASS,1.127863883972168,1.0052093032061761e-10,9948176930.022825,False,True,SFR_SFE_HI_depletion_proxy_only
