model_name,features,n_residual_features,rmse_logj,base_rmse_logj,rmse_improvement_vs_base,mae_logj,spearman_pred_obs,pearson_pred_obs,resid_a_rho,base_resid_a_rho,abs_resid_a_rho_reduction,repeat
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.05473961053294632,0.05512493786635369,0.00038532733340736897,0.04374508111837342,0.9928738062258511,0.9942896767792092,-0.7402392597976976,-0.7380033561256092,-0.0022359036720883685,8
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.054766372048917385,0.05512493786635369,0.00035856581743630433,0.04348374647021539,0.992655099511555,0.9942841614294214,-0.7191031254933842,-0.7380033561256092,0.018900230632225012,8
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05528146622359816,0.05512493786635369,-0.00015652835724447312,0.04385301468548799,0.9921265582853392,0.9941774038775764,-0.7343163966010225,-0.7380033561256092,0.0036869595245866416,8
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.054849933131538554,0.05512493786635369,0.00027500473481513465,0.043974291301790945,0.9927280017496537,0.9942730495238423,-0.7309397257492972,-0.7380033561256092,0.007063630376311969,8
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.05511903153372762,0.05512493786635369,5.906332626072486e-06,0.04487339652177791,0.9933112196544432,0.9942115643008643,-0.7107344574635676,-0.7380033561256092,0.02726889866204163,8
base_only,none,0,0.053620545127366095,0.053620545127366095,0.0,0.04246932449851386,0.9933476707734925,0.9945250140925329,-0.7533261408824927,-0.7533261408824927,0.0,9
morphology,T,1,0.053660192987458076,0.053620545127366095,-3.964786009198057e-05,0.04328555088555761,0.9933658963330173,0.9945229237732904,-0.7647976956409218,-0.7533261408824927,-0.011471554758429092,9
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.0542205229989221,0.053620545127366095,-0.0005999778715560025,0.042639673511301365,0.9935663774877888,0.9943987111409002,-0.7469469708139629,-0.7533261408824927,0.006379170068529838,9
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05412687481849718,0.053620545127366095,-0.0005063296911310827,0.042850756828314795,0.9932200918568198,0.9944168624310561,-0.7143849124384057,-0.7533261408824927,0.038941228444086984,9
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05365851029653596,0.053620545127366095,-3.796516916986653e-05,0.04243920492448433,0.9932747685353939,0.9945143499550748,-0.7469104662642144,-0.7533261408824927,0.0064156746182783,9
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.053889700761375406,0.053620545127366095,-0.0002691556340093104,0.04268074077713524,0.9931836407377705,0.9944670965174066,-0.7358952183776402,-0.7533261408824927,0.017430922504852564,9
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.05683911255182958,0.053620545127366095,-0.0032185674244634838,0.04581198801917296,0.9922905883210613,0.9938523492236155,-0.7025848167322412,-0.7533261408824927,0.050741324150251566,9
base_only,none,0,0.055800908341684996,0.055800908341684996,0.0,0.04489295798090633,0.992472843916308,0.9940732050403053,-0.7328197100613387,-0.7328197100613387,0.0,10
morphology,T,1,0.05570756727383183,0.055800908341684996,9.334106785316432e-05,0.045147925994859506,0.9930925129401471,0.9941424088245749,-0.7447110671418745,-0.7328197100613387,-0.011891357080535792,10
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.05651276395324761,0.055800908341684996,-0.0007118556115626173,0.04532145525069029,0.9925457461544067,0.9939178875845751,-0.7277181992340024,-0.7328197100613387,0.005101510827336342,10
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05625447695625945,0.055800908341684996,-0.00045356861457445524,0.04533780613167914,0.9924546183567834,0.9939794812168775,-0.7184734220102247,-0.7328197100613387,0.014346288051114042,10
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05575709930966837,0.055800908341684996,4.380903201662428e-05,0.04466313383793343,0.992472843916308,0.9940856200536063,-0.7286399391151491,-0.7328197100613387,0.004179770946189598,10
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.05615492256205972,0.055800908341684996,-0.00035401422037472513,0.044787671740082524,0.9923452649996353,0.9940142588174157,-0.7191213777682584,-0.7328197100613387,0.013698332293080373,10
