object_name,source_family,m51_primary_score,resolved_hi_order_indicator,sfr_sfe_order_indicator,vrot_sigma_order_indicator,m54_organization_score,has_resolved_hi,has_sfr_sfe,direct_dynamic_observable_weight,model_frozen_before_endpoint_join,quality_used_as_physical_feature,trained_on_endpoint_residuals,trained_on_A_inferred,quality_quarantine_flag,proxy_level,organization_label_settled,organization_label_score
xGASS_xCOLD:GASS101001,xGASS_xCOLD,0.0,0.5,0.46905193755183816,0.13567826272509004,0.20737821378287663,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS109127,xGASS_xCOLD,0.0,0.5,0.4840439776341493,0.1586604424852699,0.21267483977535687,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS124028,xGASS_xCOLD,0.0,0.5,0.4274975875451802,0.12384824904723371,0.1978843424137594,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS110082,xGASS_xCOLD,0.0,0.5,0.37473552338343646,0.1564302639965795,0.19059013107634523,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS113114,xGASS_xCOLD,0.0,0.5,0.4632653772991544,0.14123735123117243,0.20677681058294814,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS113137,xGASS_xCOLD,0.0,0.5,0.46783496860596113,0.15228237416281865,0.2087952311374741,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS108148,xGASS_xCOLD,0.0,0.5,0.4479744822854913,0.17937101450033707,0.20753199790713198,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS114117,xGASS_xCOLD,0.0,0.5,0.4625587750494138,0.13774660012807863,0.20628641502269063,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS111071,xGASS_xCOLD,0.0,0.5,0.49514896451282175,0.13065802140027352,0.21209559504259173,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS122005,xGASS_xCOLD,0.0,0.5,0.3869733278136288,0.15997025732552178,0.19339169129527795,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS108140,xGASS_xCOLD,0.0,0.5,0.4672762278623678,0.1282651340722752,0.20628175897970108,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
